dot_id,label,x,y,flg_type,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
00068ed548cb46a0b167d8e8d0eeac1b,0,114.935604,25.863155,500001,1000,FALSE,0,TRUE,0,8,0.926942873,-0.993408936,2733.289931,8.327272727,2,1,45000,5,0,9,31,2,27
00222c48337d413da1fe7b2d01eb8c0d,0,116.389637,23.25754,700001,1000,FALSE,0,TRUE,1000,8,0.935470604,0.204887963,284.7222222,0.390243902,8,1,42000,2,0,11,17,1,1
0029de4b8aa9458280bd5fd59643f567,0,104.035241,30.707433,200041,988,FALSE,0,FALSE,0,8,0.517440408,0.842823839,150.3164557,1.055555556,3,1,45000,5,0,5,130,5,88
002a15ddb1ae43149fc8395d713570d2,0,120.27756,31.455652,200015,989,FALSE,0,TRUE,1000,8,0.7800281,0.462946285,194.6614583,0.847826087,4,0,44000,4,0,7,37,9,21
0076c815dc12428b9cc852b857b90e3c,0,114.289277,23.180133,300014,297,FALSE,0,FALSE,0,8,0.932221448,0.816448831,144.53125,1.027777778,1,0,44000,4,0,3,25,1,13
0088668d9bf54d19a956d130c2b583bf,0,114.26846,22.589591,300014,292,FALSE,0,FALSE,0,8,0.356451347,0.572775691,28.86284722,0.736842105,2,2,45000,5,0,22,89,30,47
0113eca5d6d54bcd95dd4022dc1797f8,0,100.062787,26.021211,400033,1000,TRUE,0,FALSE,0,8,0.955126541,-0.462416913,802.9513889,1.351351351,1,0,45000,3,0,8,7,3,0
017d5c3d0c814bb0aed115c898ee04c4,0,119.051062,25.866981,100019,989,FALSE,0,TRUE,1000,8,0.662255393,0.882925572,633.6805556,1.095890411,1,0,null,null,null,1,21,0,0
02136ac1e92045908788000b6cdcb8c5,0,114.249183,22.702369,400063,1000,FALSE,0,FALSE,0,8,0.844968417,0.779121823,16069.01042,2.447154472,1,0,null,null,null,38,86,8,38
026a5987e61243a3992987484d33b2dc,0,104.305575,30.591404,200001,999,TRUE,1000,TRUE,1000,8,0.671497615,0.634981986,479.1666667,0.927536232,2,0,null,null,null,17,81,19,22
044d16d5e2c54c9589b6410fee2a32ee,0,113.409809,23.267832,400063,1000,FALSE,0,FALSE,0,8,0.912737792,0.022825102,168.6197917,1.135135135,1,0,null,null,null,17,61,3,8
0476caf415bd4124abc6c73473dc8e2c,0,113.035995,28.225204,100034,163,FALSE,0,TRUE,0,8,0.694221845,0.198063488,260.5251736,1,4,0,44000,4,0,26,49,12,15
04a2683f631b4e10a5afffa3b5eb1328,0,112.480754,37.85373,300014,215,FALSE,0,FALSE,0,8,0.5128965,0.842166879,29.51388889,0.941176471,7,0,45000,5,0,16,68,30,29
